Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
5. Sax Round-trip,RapidJSON AutoUTF (C++),twitter.json,6.408222,56,568808,28,0
6. SaxStatistics,RapidJSON AutoUTF (C++),canada.json,10.404635,0,288,2,0
6. SaxStatistics,RapidJSON AutoUTF (C++),citm_catalog.json,6.976066,0,288,2,0
6. SaxStatistics,RapidJSON AutoUTF (C++),twitter.json,3.970664,0,608,4,0
1. Parse,RapidJSON FullPrec (C++),canada.json,17.385517,2870912,3170152,61,0
1. Parse,RapidJSON FullPrec (C++),citm_catalog.json,3.803204,1114728,1122800,29,0
1. Parse,RapidJSON FullPrec (C++),twitter.json,1.838132,786928,792728,25,0
2. Stringify,RapidJSON FullPrec (C++),canada.json,14.057838,2873400,2873944,28,0
2. Stringify,RapidJSON FullPrec (C++),citm_catalog.json,1.551737,567656,568200,24,0
2. Stringify,RapidJSON FullPrec (C++),twitter.json,1.196450,687928,688472,21,0
3. Prettify,RapidJSON FullPrec (C++),canada.json,16.401082,9697512,9698056,31,0
3. Prettify,RapidJSON FullPrec (C++),citm_catalog.json,2.125224,1915624,1916168,27,0
3. Prettify,RapidJSON FullPrec (C++),twitter.json,1.479335,1090648,1091192,22,0
4. Statistics,RapidJSON FullPrec (C++),canada.json,0.891300,0,0,0,0
4. Statistics,RapidJSON FullPrec (C++),citm_catalog.json,0.254627,0,0,0,0
4. Statistics,RapidJSON FullPrec (C++),twitter.json,0.120666,0,0,0,0
5. Sax Round-trip,RapidJSON FullPrec (C++),canada.json,32.551183,2873400,2874248,30,0
5. Sax Round-trip,RapidJSON FullPrec (C++),citm_catalog.json,4.627717,567656,568504,26,0
5. Sax Round-trip,RapidJSON FullPrec (C++),twitter.json,2.583267,687928,689080,25,0
6. SaxStatistics,RapidJSON FullPrec (C++),canada.json,16.042818,0,288,2,0
6. SaxStatistics,RapidJSON FullPrec (C++),citm_catalog.json,3.307642,0,288,2,0
6. SaxStatistics,RapidJSON FullPrec (C++),twitter.json,1.497120,0,608,4,0
1. Parse,RapidJSON Insitu (C++),canada.json,8.510717,2870912,3169864,59,0
1. Parse,RapidJSON Insitu (C++),citm_catalog.json,3.203402,1049168,1056952,26,0
1. Parse,RapidJSON Insitu (C++),twitter.json,1.281393,459128,464320,16,0
2. Stringify,RapidJSON Insitu (C++),canada.json,13.708646,2873400,2873944,28,0
2. Stringify,RapidJSON Insitu (C++),citm_catalog.json,1.677050,567656,568200,24,0
2. Stringify,RapidJSON Insitu (C++),twitter.json,1.295792,687928,688472,21,0
3. Prettify,RapidJSON Insitu (C++),canada.json,16.090521,9697512,9698056,31,0
3. Prettify,RapidJSON Insitu (C++),citm_catalog.json,2.161084,1915624,1916168,27,0
3. Prettify,RapidJSON Insitu (C++),twitter.json,1.471730,1090648,1091192,22,0
4. Statistics,RapidJSON Insitu (C++),canada.json,0.887982,0,0,0,0
4. Statistics,RapidJSON Insitu (C++),citm_catalog.json,0.225852,0,0,0,0
4. Statistics,RapidJSON Insitu (C++),twitter.json,0.121870,0,0,0,0
5. Sax Round-trip,RapidJSON Insitu (C++),canada.json,20.717086,2873400,2873984,29,0
5. Sax Round-trip,RapidJSON Insitu (C++),citm_catalog.json,4.260960,567656,568240,25,0
5. Sax Round-trip,RapidJSON Insitu (C++),twitter.json,2.283943,687928,688512,22,0
6. SaxStatistics,RapidJSON Insitu (C++),canada.json,7.241275,0,40,1,0
6. SaxStatistics,RapidJSON Insitu (C++),citm_catalog.json,3.016101,0,40,1,0
6. SaxStatistics,RapidJSON Insitu (C++),twitter.json,1.143777,0,40,1,0
1. Parse,RapidJSON Iterative (C++),canada.json,8.942381,2870912,3170152,61,0
1. Parse,RapidJSON Iterative (C++),citm_catalog.json,4.427747,1114728,1122800,29,0
1. Parse,RapidJSON Iterative (C++),twitter.json,2.100375,786928,792728,25,0
2. Stringify,RapidJSON Iterative (C++),canada.json,14.072731,2873400,2873944,28,0
2. Stringify,RapidJSON Iterative (C++),citm_catalog.json,1.543713,567656,568200,24,0
2. Stringify,RapidJSON Iterative (C++),twitter.json,1.197643,687928,688472,21,0
3. Prettify,RapidJSON Iterative (C++),canada.json,16.189933,9697512,9698056,31,0
3. Prettify,RapidJSON Iterative (C++),citm_catalog.json,2.129633,1915624,1916168,27,0
3. Prettify,RapidJSON Iterative (C++),twitter.json,1.480350,1090648,1091192,22,0
4. Statistics,RapidJSON Iterative (C++),canada.json,0.888397,0,0,0,0
4. Statistics,RapidJSON Iterative (C++),citm_catalog.json,0.237018,0,0,0,0
4. Statistics,RapidJSON Iterative (C++),twitter.json,0.120258,0,0,0,0
5. Sax Round-trip,RapidJSON Iterative (C++),canada.json,21.365131,2873400,2874232,30,0
5. Sax Round-trip,RapidJSON Iterative (C++),citm_catalog.json,4.936360,567656,568488,26,0
5. Sax Round-trip,RapidJSON Iterative (C++),twitter.json,2.751636,687928,689080,25,0
6. SaxStatistics,RapidJSON Iterative (C++),canada.json,8.168869,0,288,2,0
6. SaxStatistics,RapidJSON Iterative (C++),citm_catalog.json,3.788742,0,288,2,0
6. SaxStatistics,RapidJSON Iterative (C++),twitter.json,1.758584,0,608,4,0
1. Parse,RapidJSON (C++),canada.json,8.236741,2870912,3170152,61,0
1. Parse,RapidJSON (C++),citm_catalog.json,3.380684,1114728,1122800,29,0
1. Parse,RapidJSON (C++),twitter.json,1.814956,786928,792728,25,0
2. Stringify,RapidJSON (C++),canada.json,14.029799,2873400,2873944,28,0
2. Stringify,RapidJSON (C++),citm_catalog.json,1.539608,567656,568200,24,0
2. Stringify,RapidJSON (C++),twitter.json,1.200270,687928,688472,21,0
3. Prettify,RapidJSON (C++),canada.json,16.252183,9697512,9698056,31,0
3. Prettify,RapidJSON (C++),citm_catalog.json,2.124869,1915624,1916168,27,0
3. Prettify,RapidJSON (C++),twitter.json,1.480538,1090648,1091192,22,0
4. Statistics,RapidJSON (C++),canada.json,0.886577,0,0,0,0
4. Statistics,RapidJSON (C++),citm_catalog.json,0.248923,0,0,0,0
4. Statistics,RapidJSON (C++),twitter.json,0.132657,0,0,0,0
5. Sax Round-trip,RapidJSON (C++),canada.json,20.019965,2873400,2874248,30,0
5. Sax Round-trip,RapidJSON (C++),citm_catalog.json,4.139604,567656,568504,26,0
5. Sax Round-trip,RapidJSON (C++),twitter.json,2.456265,687928,689080,25,0
6. SaxStatistics,RapidJSON (C++),canada.json,6.895404,0,288,2,0
6. SaxStatistics,RapidJSON (C++),citm_catalog.json,2.883491,0,288,2,0
6. SaxStatistics,RapidJSON (C++),twitter.json,1.490429,0,608,4,0
1. Parse,simdjson,canada.json,6.020558,30774160,33025256,9,0
1. Parse,simdjson,citm_catalog.json,1.847566,23614992,25342232,9,0
1. Parse,simdjson,twitter.json,0.682538,8640720,9272280,9,0
2. Stringify,simdjson,canada.json,15.266627,2097568,6178256,36,0
2. Stringify,simdjson,citm_catalog.json,1.642221,524704,1499936,32,0
2. Stringify,simdjson,twitter.json,1.192830,524704,1485216,32,0
4. Statistics,simdjson,canada.json,1.612745,0,0,0,0
4. Statistics,simdjson,citm_catalog.json,0.409407,0,0,0,0
4. Statistics,simdjson,twitter.json,0.180016,0,0,0,0
1. Parse,SimpleJSON (C++),canada.json,32.735720,7146816,7212040,393537,0
1. Parse,SimpleJSON (C++),citm_catalog.json,23.679600,4945600,4947112,232251,0
1. Parse,SimpleJSON (C++),twitter.json,14.843711,2963984,2964944,132884,0
2. Stringify,SimpleJSON (C++),canada.json,214.057553,24,18934648,360791,0
2. Stringify,SimpleJSON (C++),citm_catalog.json,38.200593,24,5976072,130275,0
2. Stringify,SimpleJSON (C++),twitter.json,16.237413,24,6825208,62090,0
4. Statistics,SimpleJSON (C++),canada.json,1.635788,0,0,0,0
4. Statistics,SimpleJSON (C++),citm_catalog.json,0.823184,0,0,0,0
4. Statistics,SimpleJSON (C++),twitter.json,0.440436,0,0,0,0
1. Parse,taocpp json (C++11),canada.json,26.787376,11295816,11383896,114209,0
1. Parse,taocpp json (C++11),citm_catalog.json,9.275011,4060320,4060912,33888,0
1. Parse,taocpp json (C++11),twitter.json,5.296243,2042296,2043464,20817,0
2. Stringify,taocpp json (C++11),canada.json,16.883386,2090288,4187448,15,0
2. Stringify,taocpp json (C++11),citm_catalog.json,3.385998,500368,1024664,13,0
2. Stringify,taocpp json (C++11),twitter.json,2.528358,466960,991256,13,0
3. Prettify,taocpp json (C++11),canada.json,24.333242,8111424,16500040,18,0
3. Prettify,taocpp json (C++11),citm_catalog.json,5.608724,1727264,3824424,17,0
3. Prettify,taocpp json (C++11),twitter.json,3.175771,767344,1815928,16,0
4. Statistics,taocpp json (C++11),canada.json,0.000040,0,0,0,0
4. Statistics,taocpp json (C++11),citm_catalog.json,0.000046,0,0,0,0
4. Statistics,taocpp json (C++11),twitter.json,0.000040,0,0,0,0
1. Parse,CAJUN (C++),canada.json,557.251591,41254472,149864576,4117468,0
1. Parse,CAJUN (C++),citm_catalog.json,123.817653,9438008,36970616,766159,0
1. Parse,CAJUN (C++),twitter.json,39.820519,2191200,9536544,246878,0
2. Stringify,CAJUN (C++),canada.json,110.451034,4270096,12658712,17,0
2. Stringify,CAJUN (C++),citm_catalog.json,20.256297,890896,1939480,923,0
2. Stringify,CAJUN (C++),twitter.json,12.414137,672464,1721048,4083,0
4. Statistics,CAJUN (C++),canada.json,5.553439,0,0,0,0
4. Statistics,CAJUN (C++),citm_catalog.json,0.835464,0,0,0,0
4. Statistics,CAJUN (C++),twitter.json,0.194214,0,0,0,0
