Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
4. Statistics,RapidJSON Insitu (C++),canada,0.914348,0,0,0,0
4. Statistics,RapidJSON Insitu (C++),twitter,0.125849,0,0,0,0
5. Sax Round-trip,RapidJSON Insitu (C++),citm_catalog,4.618699,567656,568240,25,0
5. Sax Round-trip,RapidJSON Insitu (C++),canada,20.379365,2873400,2873984,29,0
5. Sax Round-trip,RapidJSON Insitu (C++),twitter,2.446456,687928,688512,22,0
6. SaxStatistics,RapidJSON Insitu (C++),citm_catalog,3.028308,0,40,1,0
6. SaxStatistics,RapidJSON Insitu (C++),canada,7.582755,0,40,1,0
6. SaxStatistics,RapidJSON Insitu (C++),twitter,1.175772,0,40,1,0
1. Parse,RapidJSON Iterative (C++),citm_catalog,4.806923,1114728,1122816,29,0
1. Parse,RapidJSON Iterative (C++),canada,9.439759,2870912,3170152,61,0
1. Parse,RapidJSON Iterative (C++),twitter,2.030279,786928,792728,25,0
2. Stringify,RapidJSON Iterative (C++),citm_catalog,1.673530,567656,568200,24,0
2. Stringify,RapidJSON Iterative (C++),canada,15.385172,2873400,2873944,28,0
2. Stringify,RapidJSON Iterative (C++),twitter,1.195446,687928,688472,21,0
3. Prettify,RapidJSON Iterative (C++),citm_catalog,2.281411,1915624,1916168,27,0
3. Prettify,RapidJSON Iterative (C++),canada,17.964099,9697512,9698056,31,0
3. Prettify,RapidJSON Iterative (C++),twitter,1.712277,1090648,1091192,22,0
4. Statistics,RapidJSON Iterative (C++),citm_catalog,0.294428,0,0,0,0
4. Statistics,RapidJSON Iterative (C++),canada,0.908739,0,0,0,0
4. Statistics,RapidJSON Iterative (C++),twitter,0.130535,0,0,0,0
5. Sax Round-trip,RapidJSON Iterative (C++),citm_catalog,5.155456,567656,568488,26,0
5. Sax Round-trip,RapidJSON Iterative (C++),canada,22.495741,2873400,2874232,30,0
5. Sax Round-trip,RapidJSON Iterative (C++),twitter,2.863077,687928,689080,25,0
6. SaxStatistics,RapidJSON Iterative (C++),citm_catalog,3.959262,0,288,2,0
6. SaxStatistics,RapidJSON Iterative (C++),canada,8.785787,0,288,2,0
6. SaxStatistics,RapidJSON Iterative (C++),twitter,1.778305,0,608,4,0
1. Parse,RapidJSON (C++),citm_catalog,3.582788,1114728,1122816,29,0
1. Parse,RapidJSON (C++),canada,8.521623,2870912,3170152,61,0
1. Parse,RapidJSON (C++),twitter,1.911769,786928,792728,25,0
2. Stringify,RapidJSON (C++),citm_catalog,1.682300,567656,568200,24,0
2. Stringify,RapidJSON (C++),canada,14.702567,2873400,2873944,28,0
2. Stringify,RapidJSON (C++),twitter,1.194818,687928,688472,21,0
3. Prettify,RapidJSON (C++),citm_catalog,2.303472,1915624,1916168,27,0
3. Prettify,RapidJSON (C++),canada,18.418323,9697512,9698056,31,0
3. Prettify,RapidJSON (C++),twitter,1.572212,1090648,1091192,22,0
4. Statistics,RapidJSON (C++),citm_catalog,0.284725,0,0,0,0
4. Statistics,RapidJSON (C++),canada,0.960524,0,0,0,0
4. Statistics,RapidJSON (C++),twitter,0.120457,0,0,0,0
5. Sax Round-trip,RapidJSON (C++),citm_catalog,4.370562,567656,568504,26,0
5. Sax Round-trip,RapidJSON (C++),canada,21.125436,2873400,2874248,30,0
5. Sax Round-trip,RapidJSON (C++),twitter,2.483204,687928,689080,25,0
6. SaxStatistics,RapidJSON (C++),citm_catalog,3.124897,0,288,2,0
6. SaxStatistics,RapidJSON (C++),canada,7.340830,0,288,2,0
6. SaxStatistics,RapidJSON (C++),twitter,1.517249,0,608,4,0
1. Parse,simdjson,citm_catalog,2.077525,23615024,25342264,9,0
1. Parse,simdjson,canada,6.247327,30774192,33025288,9,0
1. Parse,simdjson,twitter,0.669035,8640752,9272312,9,0
2. Stringify,simdjson,citm_catalog,1.822924,524704,1499936,32,0
2. Stringify,simdjson,canada,16.254093,2097568,6178256,36,0
2. Stringify,simdjson,twitter,1.371797,524704,1485216,32,0
4. Statistics,simdjson,citm_catalog,0.388309,0,0,0,0
4. Statistics,simdjson,canada,1.488084,0,0,0,0
4. Statistics,simdjson,twitter,0.198460,0,0,0,0
1. Parse,SimpleJSON (C++),citm_catalog,24.917320,4945744,4947256,232251,0
1. Parse,SimpleJSON (C++),canada,33.348381,7147072,7212264,393537,0
1. Parse,SimpleJSON (C++),twitter,14.419214,2963936,2964896,132884,0
2. Stringify,SimpleJSON (C++),citm_catalog,40.764553,24,5976072,130275,0
2. Stringify,SimpleJSON (C++),canada,233.392796,24,18934648,360791,0
2. Stringify,SimpleJSON (C++),twitter,16.832971,24,6825208,62090,0
4. Statistics,SimpleJSON (C++),citm_catalog,0.846918,0,0,0,0
4. Statistics,SimpleJSON (C++),canada,1.743468,0,0,0,0
4. Statistics,SimpleJSON (C++),twitter,0.461541,0,0,0,0
1. Parse,taocpp json (C++11),citm_catalog,9.245426,4075568,4076160,33888,0
1. Parse,taocpp json (C++11),canada,28.328573,11295896,11383976,114209,0
1. Parse,taocpp json (C++11),twitter,5.710250,2040152,2041320,20817,0
2. Stringify,taocpp json (C++11),citm_catalog,3.703342,500368,1024664,13,0
2. Stringify,taocpp json (C++11),canada,17.837608,2090288,4187448,15,0
2. Stringify,taocpp json (C++11),twitter,2.551831,466960,991256,13,0
3. Prettify,taocpp json (C++11),citm_catalog,5.523885,1727264,3824424,17,0
3. Prettify,taocpp json (C++11),canada,24.227114,8111424,16500040,18,0
3. Prettify,taocpp json (C++11),twitter,3.245389,767344,1815928,16,0
4. Statistics,taocpp json (C++11),citm_catalog,0.000045,0,0,0,0
4. Statistics,taocpp json (C++11),canada,0.000049,0,0,0,0
4. Statistics,taocpp json (C++11),twitter,0.000045,0,0,0,0
