Type,Library,Filename,Time (ms),Memory (byte),MemoryPeak (byte),AllocCount,FileSize (byte)
3. Prettify,Sheredom json.h (C),canada,88.710767,8272208,8272208,2,0
3. Prettify,Sheredom json.h (C),twitter,4.446488,780672,780672,2,0
4. Statistics,Sheredom json.h (C),citm_catalog,0.276953,0,0,0,0
4. Statistics,Sheredom json.h (C),canada,1.147424,0,0,0,0
4. Statistics,Sheredom json.h (C),twitter,0.147127,0,0,0,0
1. Parse,Vinenthz libjson (C),citm_catalog,21.286405,2598248,2627240,153901,0
1. Parse,Vinenthz libjson (C),canada,59.401068,5842216,5871208,334389,0
1. Parse,Vinenthz libjson (C),twitter,8.986484,1410312,1439304,72620,0
2. Stringify,Vinenthz libjson (C),citm_catalog,5.671090,524336,524336,10,0
2. Stringify,Vinenthz libjson (C),canada,68.688608,4194352,4194352,13,0
2. Stringify,Vinenthz libjson (C),twitter,4.200326,524336,524336,10,0
3. Prettify,Vinenthz libjson (C),citm_catalog,5.284786,524336,524336,10,0
3. Prettify,Vinenthz libjson (C),canada,69.380826,4194352,4194352,13,0
3. Prettify,Vinenthz libjson (C),twitter,4.056355,524336,524336,10,0
4. Statistics,Vinenthz libjson (C),citm_catalog,0.495404,0,0,0,0
4. Statistics,Vinenthz libjson (C),canada,1.015018,0,0,0,0
4. Statistics,Vinenthz libjson (C),twitter,0.237900,0,0,0,0
5. Sax Round-trip,Vinenthz libjson (C),citm_catalog,16.096577,524336,528720,12,0
5. Sax Round-trip,Vinenthz libjson (C),canada,21.031588,4194352,4198736,15,0
5. Sax Round-trip,Vinenthz libjson (C),twitter,8.220467,524336,528720,12,0
6. SaxStatistics,Vinenthz libjson (C),citm_catalog,12.934585,0,4384,2,0
6. SaxStatistics,Vinenthz libjson (C),canada,18.302993,0,4384,2,0
6. SaxStatistics,Vinenthz libjson (C),twitter,4.957373,0,4384,2,0
1. Parse,strdup,citm_catalog,0.214044,24,24,1,0
1. Parse,strdup,canada,0.322194,24,24,1,0
1. Parse,strdup,twitter,0.037575,24,24,1,0
2. Stringify,strdup,citm_catalog,0.217747,24,24,1,0
2. Stringify,strdup,canada,0.320908,24,24,1,0
2. Stringify,strdup,twitter,0.037600,24,24,1,0
1. Parse,ccan json (C),citm_catalog,7.867117,2824440,2824440,68345,0
1. Parse,ccan json (C),canada,32.541052,9362416,9362416,167193,0
1. Parse,ccan json (C),twitter,5.059498,1545408,1545408,43523,0
2. Stringify,ccan json (C),citm_catalog,8.710060,524320,524320,17,0
2. Stringify,ccan json (C),canada,68.111628,2097184,2097184,19,0
2. Stringify,ccan json (C),twitter,3.401445,524320,524320,17,0
3. Prettify,ccan json (C),citm_catalog,11.038849,2097200,2097200,19,0
3. Prettify,ccan json (C),canada,80.500285,8388640,8388640,21,0
3. Prettify,ccan json (C),twitter,4.215159,1048608,1048608,18,0
4. Statistics,ccan json (C),citm_catalog,0.538550,0,0,0,0
4. Statistics,ccan json (C),canada,2.209142,0,0,0,0
4. Statistics,ccan json (C),twitter,0.241484,0,0,0,0
1. Parse,Arduino Json (C++),citm_catalog,6.721284,8280920,8280920,3,0
1. Parse,Arduino Json (C++),canada,13.646878,8804776,8804776,3,0
1. Parse,Arduino Json (C++),twitter,4.742873,7185240,7185240,3,0
2. Stringify,Arduino Json (C++),citm_catalog,4.146647,983088,1474616,17,0
2. Stringify,Arduino Json (C++),canada,9.400638,1966128,2949176,18,0
2. Stringify,Arduino Json (C++),twitter,4.386291,491568,737336,16,0
3. Prettify,Arduino Json (C++),citm_catalog,7.479681,1966128,2949176,18,0
3. Prettify,Arduino Json (C++),canada,27.058544,7864368,11796536,20,0
3. Prettify,Arduino Json (C++),twitter,5.806418,983088,1474616,17,0
4. Statistics,Arduino Json (C++),citm_catalog,0.000043,0,0,0,0
4. Statistics,Arduino Json (C++),canada,0.000049,0,0,0,0
4. Statistics,Arduino Json (C++),twitter,0.000043,0,0,0,0
1. Parse,nbsdx SimpleJSON (C++11),citm_catalog,37.731771,10067296,21397976,321232,0
1. Parse,nbsdx SimpleJSON (C++11),canada,159.591474,38892352,80050216,787463,0
1. Parse,nbsdx SimpleJSON (C++11),twitter,18.051082,2475216,5579784,145310,0
2. Stringify,nbsdx SimpleJSON (C++11),citm_catalog,15.141231,2055040,3082536,95521,0
2. Stringify,nbsdx SimpleJSON (C++11),canada,78.514001,2811760,4217624,169650,0
2. Stringify,nbsdx SimpleJSON (C++11),twitter,6.900067,1268240,1902344,32912,0
3. Prettify,nbsdx SimpleJSON (C++11),citm_catalog,18.431116,2962256,4443368,159216,0
3. Prettify,nbsdx SimpleJSON (C++11),canada,85.385674,2811888,4217824,336835,0
3. Prettify,nbsdx SimpleJSON (C++11),twitter,8.018511,1524544,2286792,61650,0
4. Statistics,nbsdx SimpleJSON (C++11),citm_catalog,0.944181,0,112,730,0
4. Statistics,nbsdx SimpleJSON (C++11),canada,5.273378,0,40,1,0
4. Statistics,nbsdx SimpleJSON (C++11),twitter,1.695103,0,736,5166,0
1. Parse,Qt (C++),citm_catalog,10.080624,48,48,2,0
1. Parse,Qt (C++),canada,34.870963,48,48,2,0
1. Parse,Qt (C++),twitter,3.908298,48,48,2,0
2. Stringify,Qt (C++),citm_catalog,13.235910,24,24,1,0
2. Stringify,Qt (C++),canada,45.755433,24,24,1,0
